Node,word,frequency_word,betweenness_centrality,clustering_coefficient,eigenvector_centrality,Class_betweenness_centralitylow,Class_betweenness_centralitymedium,Class_betweenness_centralityhigh,Class_clustering_coefficientlow,Class_clustering_coefficientmedium,Class_clustering_coefficienthigh,Class_eigenvector_centralitylow,Class_eigenvector_centralitymedium,Class_eigenvector_centralityhigh
18,ma,,0.05107461546153901,0.003205227958146086,0.1904972188575247,1,0,1,0,0,1,1,0,1
143,siento,116.0,0.046914766180802994,0.003611556946708464,0.18865081805543274,1,0,1,0,0,1,1,0,1
62,externallink,95.0,0.09780364204551745,0.0019135640079314745,0.1836100334414088,1,0,1,0,0,1,1,0,1
44,quiero,109.0,0.045508951206131694,0.0032347800934068886,0.18081809868202978,1,0,1,0,0,1,1,0,1
36,vida,81.0,0.04638670003696769,0.0032702853671649212,0.17226902691734297,1,0,1,0,0,1,1,0,1
180,mierda,80.0,0.0463198511619867,0.003366578321478844,0.16233145943104169,1,0,1,0,0,1,1,0,1
30,solo,75.0,0.04713481637689558,0.0032659723849661638,0.16137719980504353,1,0,1,0,0,1,1,0,1
94,mal,76.0,0.03470511979193919,0.004105865324718263,0.15667326625609077,1,0,1,0,0,1,1,0,1
28,ganas,75.0,0.03855826115552342,0.003379087815980095,0.1533856193807862,1,0,1,0,0,1,1,0,1
80,dia,54.0,0.04383704925562046,0.0032173320958196225,0.15001299534222232,1,0,1,0,0,1,1,0,1
73,tan,72.0,0.025550239450924193,0.004586489087410998,0.14102930969121336,1,0,1,0,0,1,1,0,1
214,puedo,63.0,0.031084752566575603,0.0038417741499072963,0.13730223415841358,1,0,1,0,0,1,1,0,1
138,si,57.0,0.029979235919617587,0.003206144884612263,0.131808764710421,1,0,1,0,0,1,1,0,1
149,siempre,50.0,0.02960173792244793,0.0034947594997725654,0.1297212579921866,1,0,1,0,0,1,1,0,1
185,bien,56.0,0.03034672476174183,0.0029921884701453595,0.1279260934230705,1,0,1,0,0,1,1,0,1
148,llorar,55.0,0.024062964053692442,0.004039382770647591,0.12451874243835656,1,0,1,0,0,1,1,0,1
288,hacer,40.0,0.019934756157981414,0.004947403060609177,0.12133170856055207,1,0,1,0,0,1,1,0,1
210,dormir,46.0,0.023748883056624384,0.0038702153112188417,0.11540697868939599,1,0,1,0,0,1,1,0,1
71,odio,37.0,0.01305768675016408,0.0065022444591164895,0.11525990571542719,1,0,1,0,0,1,1,0,1
276,vez,44.0,0.018073095185796053,0.004940144883687144,0.1150281999352939,1,0,1,0,0,1,1,0,1
63,ser,43.0,0.02217831188190089,0.004166075965840832,0.11398702114781037,1,0,1,0,0,1,1,0,1
15,nadie,52.0,0.025815981095500175,0.0028287066661200648,0.11086586524941393,1,0,1,0,0,1,1,0,1
227,cansada,34.0,0.015526888920283711,0.005454132077197833,0.10644044105451399,1,0,1,0,0,1,1,0,1
24,depresion,47.0,0.04596058198421676,0.0020632684222736805,0.10643690299938341,1,0,1,0,0,1,1,0,1
47,tiempo,30.0,0.015515860216322664,0.005387386107487672,0.10585678028529427,1,0,1,0,0,1,1,0,1
38,nunca,37.0,0.023742818213249074,0.0037590071119148055,0.10563579294412881,1,0,1,0,0,1,1,0,1
156,asi,33.0,0.015079928361549153,0.005073591601934759,0.10387242311876195,1,0,1,0,0,1,1,0,1
87,sentir,32.0,0.010483987649161572,0.005203014564413491,0.0952450998601387,1,0,1,0,0,1,1,0,1
158,veces,33.0,0.02166869062961592,0.0031906088024175085,0.09262405664401482,1,0,1,0,0,1,1,0,1
8,mejor,26.0,0.01611693197108966,0.004529371249889634,0.08986748141513508,1,0,1,0,0,1,1,0,1
79,cada,33.0,0.012948898208356171,0.006737603056868847,0.08954147326553322,1,0,1,0,0,1,1,0,1
84,triste,32.0,0.013911424665894677,0.004849155170271074,0.08859444405216821,1,0,1,0,0,1,1,0,1
72,sentirme,29.0,0.014172097145485639,0.005818048135380921,0.08841468290243015,1,0,1,0,0,1,1,0,1
423,hace,32.0,0.01315888294208445,0.004796895045070214,0.08668698465379421,1,0,1,0,0,1,1,0,1
556,peor,22.0,0.01070517984510193,0.005893795437915586,0.08594039348708293,1,0,1,0,0,1,1,0,1
247,voy,24.0,0.009657442072631668,0.005939810305671799,0.08437513775082399,1,0,1,0,0,1,1,0,1
76,gente,22.0,0.014776170595523434,0.004917342925361864,0.08078253747897826,1,0,1,0,0,1,1,0,1
277,toda,19.0,0.020002476288106252,0.003519148775918866,0.07896388858225234,1,0,1,0,0,1,1,0,1
224,sola,35.0,0.018563138198224343,0.004147537098773197,0.07892359710954736,1,0,1,0,0,1,1,0,1
367,va,22.0,0.009035396726607086,0.005879358415255798,0.07784931730912617,1,0,1,0,0,1,1,0,1
5,vivir,26.0,0.014325955692343252,0.00442117496600497,0.07689403404713512,1,0,1,0,0,1,1,0,1
142,puede,19.0,0.007712194676443819,0.006299229133445767,0.07326912333120282,1,0,1,0,0,1,1,0,1
6,mundo,19.0,0.009092025094654685,0.005467457856812458,0.07115824693862778,1,0,1,0,0,1,1,0,1
81,morir,21.0,0.006846474884285991,0.008155884204057044,0.06886256415155854,1,0,1,0,0,1,1,0,1
134,pasa,18.0,0.0062405676285873036,0.006614826079534812,0.06841721156228726,1,0,1,0,0,1,1,0,1
13,alguien,25.0,0.017075308795549988,0.002277867965530227,0.06717930008665374,1,0,1,0,0,1,1,0,1
261,salir,16.0,0.008057935220735904,0.006327619196717537,0.0670390279733432,1,0,1,0,0,1,1,0,1
103,vacio,23.0,0.003774608050750637,0.008190981988129419,0.06642969095713784,1,0,1,0,0,1,1,0,1
27,cosas,25.0,0.017237625515758116,0.0030314842811642326,0.0654758506233149,1,0,1,0,0,1,1,0,1
229,miedo,18.0,0.01109782474102038,0.0048420634729133575,0.06546816247386882,1,0,1,0,0,1,1,0,1
211,poder,18.0,0.007297499751799015,0.00518274851766632,0.06391124845737987,1,0,1,0,0,1,1,0,1
331,ahora,14.0,0.006748962306384679,0.006042246830287362,0.06376402652129244,1,0,1,0,0,1,1,0,1
45,desaparecer,15.0,0.004796371061683302,0.00834111731594204,0.06341366988979324,1,0,1,0,0,1,1,0,1
120,tener,19.0,0.014504404176797686,0.0031162930133706215,0.060770464268208396,1,0,1,0,0,1,1,0,1
147,dejar,19.0,0.00663902770950203,0.0050246770221743595,0.06010865494862194,1,0,1,0,0,1,1,0,1
519,nuevo,16.0,0.006852207990911388,0.005186646527534521,0.059524419530419946,1,0,1,0,0,1,1,0,1
295,persona,8.0,0.006274428674568849,0.005155329666124417,0.05936346701148089,1,0,1,0,0,1,1,0,1
274,morirme,21.0,0.0038919022916423817,0.006891711761326516,0.05930244253543025,1,0,1,0,0,1,1,0,1
392,cansado,14.0,0.006588828348250425,0.006712184059774417,0.05885261442727389,1,0,1,0,0,1,1,0,1
133,dolor,17.0,0.005592542794534241,0.005741283122148613,0.058842959430084184,1,0,1,0,0,1,1,0,1
551,llorando,17.0,0.008026678593818837,0.004866271011155998,0.058773597094584844,1,0,1,0,0,1,1,0,1
279,hoy,20.0,0.012341451715633531,0.003208894696274687,0.05875709110853118,1,0,1,0,0,1,1,0,1
17,tristeza,17.0,0.010522503722703698,0.0043142232064944065,0.05838850856894317,1,0,1,0,0,1,1,0,1
126,ansiedad,30.0,0.012519942693092864,0.003532288922705347,0.056348520561552984,1,0,1,0,0,1,1,0,1
251,da,10.0,0.0025132402475321006,0.011355049298129374,0.056202407768016466,1,0,1,0,1,0,1,0,1
46,mismo,16.0,0.00598509324824351,0.004738192586587024,0.05576042155026522,1,0,1,0,0,1,1,0,1
202,cabeza,14.0,0.008858430959124705,0.004317048073326218,0.05356396611589296,1,0,1,0,0,1,1,0,1
280,caer,14.0,0.002318275531018141,0.007588817662785942,0.05319333793651634,1,0,1,0,0,1,1,0,1
173,soporto,15.0,0.0019327886789711154,0.008412848885218462,0.05224864193003784,1,0,1,0,0,1,1,0,1
179,ano,8.0,0.011475679032443733,0.0033243243151726705,0.050842436920278795,1,0,1,0,0,1,1,0,1
85,feliz,10.0,0.0038857372055385573,0.007494743154132412,0.05043924998390961,1,0,1,0,0,1,1,0,1
262,volver,14.0,0.004074444536828662,0.005665306541192027,0.050375492119862496,1,0,1,0,0,1,1,0,1
302,inutil,10.0,0.0027441398952302866,0.007754673639008428,0.0501282305719575,1,0,1,0,0,1,1,0,1
588,harta,11.0,0.00419473425757844,0.007310543439614137,0.04959622299345149,1,0,1,0,0,1,1,0,1
215,pensamientos,14.0,0.011241177934759818,0.004058987046651915,0.04791310510168719,1,0,1,0,0,1,1,0,1
