Node;word;frequency_word;betweenness_centrality;clustering_coefficient;eigenvector_centrality;Class_betweenness_centralitylow;Class_betweenness_centralitymedium;Class_betweenness_centralityhigh;Class_clustering_coefficientlow;Class_clustering_coefficientmedium;Class_clustering_coefficienthigh;Class_eigenvector_centralitylow;Class_eigenvector_centralitymedium;Class_eigenvector_centralityhigh
18;ma;0.0549875328557931;0.003096621062170663;0.196291694608519;1;0;1;0;0;1;1;0;1;
142;siento;116.0;0.05430162246082988;0.003310226781041992;0.1943839092831609;1;0;1;0;0;1;1;0;1
44;quiero;109.0;0.0488135528884674;0.0030499240684725617;0.1853124903586268;1;0;1;0;0;1;1;0;1
36;vida;81.0;0.04922728381899358;0.0031611564021541533;0.17640655464595933;1;0;1;0;0;1;1;0;1
179;mierda;80.0;0.04936879865289149;0.003200166908441348;0.16708361050725629;1;0;1;0;0;1;1;0;1
30;solo;75.0;0.05517379676403165;0.003084812331173962;0.16435309219724364;1;0;1;0;0;1;1;0;1
93;mal;76.0;0.03501830213368952;0.00399855666021332;0.16001577130504957;1;0;1;0;0;1;1;0;1
28;ganas;75.0;0.043051893846032474;0.003063168498642534;0.15697505930303504;1;0;1;0;0;1;1;0;1
79;dia;54.0;0.05020236939837555;0.002996333193554567;0.15379715451159684;1;0;1;0;0;1;1;0;1
72;tan;72.0;0.027103076739470662;0.004403057554892368;0.1440469682380791;1;0;1;0;0;1;1;0;1
213;puedo;63.0;0.03539168418090729;0.0035246365367561966;0.1402003199615841;1;0;1;0;0;1;1;0;1
137;si;57.0;0.033990788883588204;0.0030057379268360615;0.13569600326849754;1;0;1;0;0;1;1;0;1
148;siempre;50.0;0.0320061006784831;0.003234525937356595;0.13132845871321247;1;0;1;0;0;1;1;0;1
184;bien;56.0;0.029620311470908857;0.0028718440657317583;0.1297291770663131;1;0;1;0;0;1;1;0;1
147;llorar;55.0;0.025581682899723967;0.003934972796209477;0.12791286104451696;1;0;1;0;0;1;1;0;1
287;hacer;40.0;0.020111143053757156;0.004812307772441458;0.12261119980119148;1;0;1;0;0;1;1;0;1
70;odio;37.0;0.015160990560549582;0.005758910236877648;0.11823965213232698;1;0;1;0;0;1;1;0;1
209;dormir;46.0;0.02596113253270847;0.0036420997151351124;0.11679225694442594;1;0;1;0;0;1;1;0;1
62;ser;43.0;0.024228826756473677;0.003908482489296334;0.1161120861853112;1;0;1;0;0;1;1;0;1
275;vez;44.0;0.017731318877459438;0.004729381236053944;0.11603834165839007;1;0;1;0;0;1;1;0;1
15;nadie;52.0;0.0272194798413047;0.0028495878680522358;0.1155137584277453;1;0;1;0;0;1;1;0;1
24;depresion;47.0;0.048926525219350855;0.0019106352369248453;0.10992275421624514;1;0;1;0;0;1;1;0;1
226;cansada;34.0;0.016331834755936574;0.005322675326900145;0.10706001380866809;1;0;1;0;0;1;1;0;1
47;tiempo;30.0;0.015265463237586813;0.005128971874940336;0.10685384660735447;1;0;1;0;0;1;1;0;1
155;asi;33.0;0.017689887182420313;0.004613915276290788;0.10656875092358818;1;0;1;0;0;1;1;0;1
38;nunca;37.0;0.023877355670044835;0.003569256616966206;0.1061858901538477;1;0;1;0;0;1;1;0;1
86;sentir;32.0;0.01293534209378891;0.004825671867106414;0.09894234184506645;1;0;1;0;0;1;1;0;1
157;veces;33.0;0.02388973659614685;0.003056060232385347;0.09381244909150234;1;0;1;0;0;1;1;0;1
78;cada;33.0;0.012945681568026179;0.006605396004122055;0.09168474638379381;1;0;1;0;0;1;1;0;1
8;mejor;26.0;0.01745315315426104;0.004259988185103227;0.09121750482177338;1;0;1;0;0;1;1;0;1
83;triste;32.0;0.014286593065174436;0.004539190277704284;0.08878995865497233;1;0;1;0;0;1;1;0;1
71;sentirme;29.0;0.013761985020869092;0.005528053821838971;0.08867919447444746;1;0;1;0;0;1;1;0;1
422;hace;32.0;0.013245438437985592;0.004518680347200947;0.08683290991738099;1;0;1;0;0;1;1;0;1
555;peor;22.0;0.012159065196487929;0.0053494523006068296;0.08631100445215241;1;0;1;0;0;1;1;0;1
75;gente;22.0;0.015560384350440553;0.004945521526388726;0.08455590463319458;1;0;1;0;0;1;1;0;1
246;voy;24.0;0.009678786596383085;0.005507633679338061;0.08378398078910175;1;0;1;0;0;1;1;0;1
366;va;22.0;0.00963966862017581;0.005916320840829246;0.08138848281398789;1;0;1;0;0;1;1;0;1
5;vivir;26.0;0.01474357664144623;0.0041910743735378885;0.07950358762254085;1;0;1;0;0;1;1;0;1
276;toda;19.0;0.0199637011964177;0.0032920667217163106;0.0785501284423756;1;0;1;0;0;1;1;0;1
223;sola;35.0;0.017548148531464722;0.0040444194038454905;0.07849803221266788;1;0;1;0;0;1;1;0;1
141;puede;19.0;0.008147868848473466;0.00630517900877114;0.07660276810417808;1;0;1;0;0;1;1;0;1
6;mundo;19.0;0.011267254369101117;0.004906599695893949;0.07113239181496178;1;0;1;0;0;1;1;0;1
13;alguien;25.0;0.018317749924163403;0.002298144132681387;0.07012337281932926;1;0;1;0;0;1;1;0;1
80;morir;21.0;0.00641622378765556;0.00787844064730936;0.06993898798722549;1;0;1;0;0;1;1;0;1
133;pasa;18.0;0.006666230848921557;0.0063293764120084485;0.06924952637770643;1;0;1;0;0;1;1;0;1
27;cosas;25.0;0.01803473045005018;0.0030417248806429644;0.06840073897845145;1;0;1;0;0;1;1;0;1
260;salir;16.0;0.008381730367495299;0.0060788273131474006;0.06825091225088667;1;0;1;0;0;1;1;0;1
330;ahora;14.0;0.007874064055140873;0.006063806668193588;0.06644609768805668;1;0;1;0;0;1;1;0;1
102;vacio;23.0;0.004196253322681842;0.00769812136070135;0.06603259269845917;1;0;1;0;0;1;1;0;1
228;miedo;18.0;0.009800150818574348;0.004695657568832634;0.06450787510678278;1;0;1;0;0;1;1;0;1
210;poder;18.0;0.006860231078025024;0.005027656748931034;0.06290210550046942;1;0;1;0;0;1;1;0;1
146;dejar;19.0;0.007239443392446169;0.005062279240595811;0.06278780478057475;1;0;1;0;0;1;1;0;1
45;desaparecer;15.0;0.005052435885261985;0.007649354331155294;0.06240550359302069;1;0;1;0;0;1;1;0;1
273;morirme;21.0;0.004226439207727181;0.006900491334762124;0.06196844904588575;1;0;1;0;0;1;1;0;1
132;dolor;17.0;0.00595701837978759;0.005772816339972502;0.061625514285249455;1;0;1;0;0;1;1;0;1
550;llorando;17.0;0.008484798193338569;0.004876165858382227;0.06102400090989962;1;0;1;0;0;1;1;0;1
294;persona;8.0;0.005991619708729923;0.004983395961473962;0.060611510092250326;1;0;1;0;0;1;1;0;1
119;tener;19.0;0.015403666573417749;0.002876047187734618;0.05929009021770755;1;0;1;0;0;1;1;0;1
250;da;10.0;0.0027196663220150686;0.011360778599337878;0.05886430791356722;1;0;1;0;1;0;1;0;1
46;mismo;16.0;0.006239488557136192;0.00474348148216858;0.05820105128230306;1;0;1;0;0;1;1;0;1
391;cansado;14.0;0.00636931070123792;0.006193910857374939;0.05814307695364531;1;0;1;0;0;1;1;0;1
518;nuevo;16.0;0.006124971168422197;0.005031888372972382;0.05795138410056864;1;0;1;0;0;1;1;0;1
278;hoy;20.0;0.015107822167615881;0.002651622840554906;0.05782404658571168;1;0;1;0;0;1;1;0;1
17;tristeza;17.0;0.011101767304172632;0.003964744452431344;0.057317450428157606;1;0;1;0;0;1;1;0;1
201;cabeza;14.0;0.009475872705589512;0.0043261916884664384;0.055900176086505105;1;0;1;0;0;1;1;0;1
125;ansiedad;30.0;0.013788168869952402;0.003073016869973409;0.05570800964496647;1;0;1;0;0;1;1;0;1
172;soporto;15.0;0.002030385665095875;0.008477862315628465;0.05490665333722553;1;0;1;0;1;0;1;0;1
84;feliz;10.0;0.004180719546915161;0.007533918421898044;0.05263035072952567;1;0;1;0;0;1;1;0;1
301;inutil;10.0;0.003088150404726687;0.0077632913426886;0.052154850057640846;1;0;1;0;0;1;1;0;1
279;caer;14.0;0.0027432798265924325;0.006828137804099001;0.05170151691662839;1;0;1;0;0;1;1;0;1
261;volver;14.0;0.0047396645989556336;0.0051578069971636754;0.05166277636050625;1;0;1;0;0;1;1;0;1
587;harta;11.0;0.005166007658032585;0.007052411747024376;0.050937049651683435;1;0;1;0;0;1;1;0;1
178;ano;8.0;0.011157645633199507;0.003020851805728049;0.04937049281743245;1;0;1;0;0;1;1;0;1
441;seguir;15.0;0.005260603260026129;0.00658771848495858;0.04896758786907299;1;0;1;0;0;1;1;0;1
138;noche;12.0;0.004072732339863913;0.006335550335836929;0.048761894858940044;1;0;1;0;0;1;1;0;1
114;ultimamente;16.0;0.007271119174028497;0.004511033489628172;0.04825249817494524;1;0;1;0;0;1;1;0;1
89;misma;11.0;0.0036314929595762315;0.007123835708257341;0.04673487482873678;1;0;1;0;0;1;1;0;1
337;hacerlo;9.0;0.0034011301551548877;0.0067445693067073745;0.046000720338835815;1;0;1;0;0;1;1;0;1
214;pensamientos;14.0;0.01170513234467569;0.003604856738877221;0.045836738767210936;1;0;1;0;0;1;1;0;1
502;duele;12.0;0.0047183377826380156;0.006664895975439846;0.04480671916430575;1;0;1;0;0;1;1;0;1
290;vacia;13.0;0.0029863132003450075;0.010810795326347546;0.04477890683192972;1;0;1;0;1;0;1;0;1
